test
400,270,400,130,WALL
200,175,200,130,WALL
160,265,160,175,WALL
30,1070,30,265,WALL
275,360,275,270,WALL
920,400,920,315,WALL
955,485,955,400,WALL
985,575,985,485,WALL
1020,665,1020,575,WALL
1050,1218,1050,665,WALL
1085,1218,1085,1100,WALL
1115,845,1115,1100,WALL
1145,930,1145,845,WALL
1225,1110,1225,930,WALL
1260,1110,1260,1065,WALL
1310,1105,1310,1065,WALL
1405,1105,1405,750,WALL
1405,750,1405,660,WALL
1260,750,1260,660,WALL
1185,750,1185,525,WALL
1185,570,1185,525,WALL
1120,570,1120,395,WALL
1055,395,1055,350,WALL
1020,350,1020,175,WALL
990,260,990,175,WALL
960,260,960,130,WALL
735,130,735,85,WALL
625,175,625,85,WALL
575,310,575,85,WALL
525,440,525,310,WALL
480,575,480,440,WALL
430,705,430,575,WALL
385,840,385,705,WALL
275,840,275,440,WALL
250,660,250,440,WALL
160,660,160,490,WALL
140,660,140,490,WALL
80,660,80,405,WALL
190,405,190,360,WALL
275,270,400,270,FLOOR
200,130,400,130,FLOOR
160,175,200,175,FLOOR
30,265,160,265,FLOOR
30,1070,385,1070,FLOOR
660,315,920,315,FLOOR
920,400,955,400,FLOOR
955,485,985,485,FLOOR
985,575,1020,575,FLOOR
1020,665,1050,665,FLOOR
1085,1100,1115,1100,FLOOR
1115,845,1145,845,FLOOR
1145,930,1195,930,FLOOR
1020,930,1195,930,FLOOR
1020,930,1225,930,FLOOR
1225,1110,1260,1110,FLOOR
1260,1065,1310,1065,FLOOR
1310,1105,1405,1105,FLOOR
1300,750,1405,750,FLOOR
1260,660,1405,660,FLOOR
1185,750,1260,750,FLOOR
1150,525,1185,525,FLOOR
1120,570,1185,570,FLOOR
1055,395,1120,395,FLOOR
1020,350,1055,350,FLOOR
1020,175,990,175,FLOOR
960,260,990,260,FLOOR
735,130,960,130,FLOOR
735,85,625,85,FLOOR
575,85,625,85,FLOOR
525,310,575,310,FLOOR
480,440,525,440,FLOOR
430,575,480,575,FLOOR
385,705,430,705,FLOOR
275,840,385,840,FLOOR
250,440,275,440,FLOOR
160,660,250,660,FLOOR
140,490,160,490,FLOOR
80,660,140,660,FLOOR
80,405,190,405,FLOOR
190,360,275,360,FLOOR
385,1070,660,315,UPWARDSLOPE
end
